invoice_year_month,total_transaction_lines,completed_transaction_lines,completed_invoice_count,completed_sales_amount,cancelled_amount,net_sales_after_cancellations,average_order_value,data_issue_rows
2010-12,42481,41480,1559,823746.14,74789.12,748957.02,528.38,203
2011-01,35147,34306,1086,691364.56,131364.3,560000.26,636.62,44
2011-02,27707,27105,1100,523631.89,25569.24,498062.65,476.03,79
2011-03,36748,35803,1454,717639.36,34372.28,683267.08,493.56,112
2011-04,29916,29096,1246,537808.62,44601.5,493207.12,431.63,75
2011-05,37030,36164,1681,770536.02,47202.51,723333.51,458.38,128
2011-06,36874,35977,1533,761739.9,70616.78,691123.12,496.89,79
2011-07,39518,38645,1475,719221.19,37921.08,681300.11,487.61,71
2011-08,35284,34483,1361,759138.38,54333.75,704804.63,557.78,83
2011-09,50226,49261,1837,1058590.17,38902.55,1019687.62,576.26,62
2011-10,60742,59304,2040,1154979.3,84274.63,1070704.67,566.17,92
2011-11,84711,83369,2769,1509496.33,47740.08,1461756.25,545.14,129
2011-12,25525,25111,819,638792.68,205124.67,433668.01,779.97,24
